feed_water,separation,feed_idx,feed_furfural,phase2_water,phase1_water,phase2_ea,phase2_furfural,tau_13_rel_change,organic_ea,organic_water,aqueous_furfural,phase1_furfural,status,tau_31_rel_change,tau_31,aqueous_ea,aqueous_water,phase1_ea,organic_furfural,tau_13,sample,feed_ea
0.205,1.0381232826827929,1,0.01,0.2055301395230253,0.9436815844421848,0.7853023773555149,0.009167483121459758,-0.06642721909609445,0.7853023773555149,0.2055301395230253,0.000923173231332909,0.000923173231332909,valid,-0.083573404790264,2.6067312952301784,0.05539524232648241,0.9436815844421848,0.05539524232648241,0.009167483121459758,3.7621594081665783,1,0.785
0.205,1.0667616837754075,1,0.01,0.18909791713525903,0.9479842735843321,0.8007087031477886,0.010193379716952234,-0.05556741063937995,0.8007087031477886,0.18909791713525903,0.0009648263821665413,0.0009648263821665413,valid,-0.05372618297741948,2.691630279591727,0.05105090003350128,0.9479842735843321,0.05105090003350128,0.010193379716952234,3.805922820502526,2,0.785
0.205,0.5151576707562894,1,0.01,0.21051483862063766,0.5747867083937411,0.7894836138452556,1.5475341067994412e-6,-0.03847369418980322,0.7894836138452556,0.21051483862063766,7.727307418876123e-7,7.727307418876123e-7,outlier,-0.03288503324898092,2.7509119258355983,0.4252125188755169,0.5747867083937411,0.4252125188755169,1.5475341067994412e-6,3.874807954556072,3,0.785
0.205,0.5138376992974443,1,0.01,0.21048773997339026,0.5738262792738148,0.7895105773649865,1.682661623284969e-6,-0.016837446664841365,0.7895105773649865,0.21048773997339026,8.472643674165582e-7,8.472643674165582e-7,outlier,-0.017317884382818945,2.7951919307362028,0.42617287346181776,0.5738262792738148,0.42617287346181776,1.682661623284969e-6,3.9619988129963146,4,0.785
0.205,0.5126794391674802,1,0.01,0.21047668237339873,0.5729961482815582,0.7895218676585357,1.449968065638149e-6,-0.0029868920638915874,0.7895218676585357,0.21047668237339873,7.341711692105219e-7,7.341711692105219e-7,outlier,-0.010753783826061066,2.813863198501432,0.42700311754727266,0.5729961482815582,0.42700311754727266,1.449968065638149e-6,4.017814487324176,5,0.785
0.205,0.512859345570682,1,0.01,0.2104579719579175,0.5731047079304921,0.789540342707512,1.685334570422388e-6,0.005132952103622114,0.789540342707512,0.2104579719579175,8.554838454363254e-7,8.554838454363254e-7,outlier,0.0009111801775865072,2.8470436265738877,0.42689443658566245,0.5731047079304921,0.42689443658566245,1.685334570422388e-6,4.0505362512321605,6,0.785
0.205,0.5132098633375815,1,0.01,0.21043648437916732,0.5733310717925948,0.7895618343503149,1.6812705177288191e-6,0.013394460763948549,0.7895618343503149,0.21043648437916732,8.555179038625552e-7,8.555179038625552e-7,outlier,0.01485629180017174,2.8867098246873892,0.42666807268950124,0.5733310717925948,0.42666807268950124,1.6812705177288191e-6,4.083828901969046,7,0.785
0.205,0.5125173054391206,1,0.01,0.2104020624333519,0.5728069278099074,0.7895962810449336,1.6565217143831002e-6,0.03715135948524617,0.7895962810449336,0.2104020624333519,8.500701758622627e-7,8.500701758622627e-7,outlier,0.038529964977223774,2.9540484474055013,0.42719222211991675,0.5728069278099074,0.42719222211991675,1.6565217143831002e-6,4.17956566921568,8,0.785
0.205,0.5131047143736053,1,0.01,0.21037348447504997,0.5731936044971482,0.7896252910492908,1.2244756591971958e-6,0.04779780360051073,0.7896252910492908,0.21037348447504997,6.304154590444091e-7,6.304154590444091e-7,outlier,0.05994044118616459,3.014949515392135,0.4268057650873929,0.5731936044971482,0.4268057650873929,1.2244756591971958e-6,4.22246925500037,9,0.785
0.205,0.5113804596372715,1,0.01,0.21033437689708834,0.5719352574482034,0.7896644095908464,1.2135120653727194e-6,0.08833344065717513,0.7896644095908464,0.21033437689708834,6.339607550043639e-7,6.339607550043639e-7,outlier,0.09277635201689045,3.10834968166541,0.42806410859104155,0.5719352574482034,0.42806410859104155,1.2135120653727194e-6,4.385821841363375,10,0.785
